source_id,l,b,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,ruwe,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_n_bad_obs_al,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_sigma5d_max,bp_g,bp_rp,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,dec_pseudocolour_corr,g_rp,ipd_frac_multi_peak,ipd_frac_odd_win,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,matched_transits,nu_eff_used_in_astrometry,parallax_over_error,parallax_pmdec_corr,parallax_pmra_corr,parallax_pseudocolour_corr,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_n_blended_transits,phot_bp_n_contaminated_transits,phot_bp_n_obs,phot_bp_rp_excess_factor,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_n_obs,phot_proc_mode,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_obs,pm,pmdec_pseudocolour_corr,pmra_pmdec_corr,pmra_pseudocolour_corr,pseudocolour,pseudocolour_error,ra_dec_corr,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,ra_pseudocolour_corr
4056355822397882880,359.3855084408686,-1.8139104605499818,0.08292941613648931,-1.3616558379719308,-1.696040515808731,16.038202,16.392097,14.311263,0.054425564,0.043315962,0.062036898,0.07062491,0.043671083,0.95873636,586.093,0.2828027,6.5346847,0,342,0,342,0.101110324,0.3538952,2.0808344,-0.2067686,-0.6776069,-0.20530482,-0.12841187,1.7269392,0,0,0.06242626,9.277521,41,,1.3367757,0.2359742,-0.10646471,-0.024504134,3789.4665241444104,71.4053,53.069824,37,0,37,2.5888138,7238.785612861139,20.436022,354.21695,338,0,14950.401464444436,73.99535,202.04514,39,0,39,2.175008,-0.047579065,0.26851913,0.061453983,1.2681785,0.012119961,0.13427505,-0.022772418,-0.12224654,-0.12888667,0.0073129293
4582024527604897792,50.87892882990034,23.957752774262065,0.43965792685108074,-7.541071022059716,-2.7268151098137565,17.354551,17.273504,17.49882,0.044223636,0.056993585,0.06980548,0.054947454,0.07065048,0.9962108,485.0879,0.13740627,0.54757005,5,453,0,458,0.09946084,-0.08104706,-0.2253151,-0.024630945,-0.18450549,-0.015224358,,-0.14426804,0,0,0.032046326,54.337757,59,1.8217402,6.29833,0.10065453,-0.16185741,,1682.7316652527438,10.395105,161.8773,3,0,50,1.1499832,2153.4088867861633,1.7688237,1217.4242,461,0,793.6522354517792,6.7314253,117.90256,1,0,46,8.018932,,0.115904965,,,,0.011836126,-0.11191233,-0.004071352,0.04855345,
4610982060405219712,65.31963184588041,27.85903310575443,0.5514839032775194,3.23005611808104,-5.833058785533506,15.978378,15.836618,16.273405,0.028789865,0.03387592,0.03514866,0.038560625,0.044407215,1.0328605,685.9121,0.24488878,6.9096985,0,402,0,402,0.06226555,-0.14175987,-0.43678665,0.17485869,-0.17074472,-0.09191069,,-0.29502678,1,0,0.025915284,12.313801,49,1.8772606,15.690041,-0.020367488,-0.061239913,,6320.761765046317,17.538067,360.40244,47,0,47,1.1471442,7648.836987153871,4.95756,1542.8632,404,0,2453.557114737214,11.9520035,205.28416,47,0,47,6.667671,,0.070228375,,,,-0.039247338,-0.05295661,-0.05897309,0.058695167,
4609119659506609664,63.077887670420175,27.33072282298522,1.2285787932452596,-6.779279855908027,1.8785319022660416,14.5102625,14.355205,14.816839,0.021243643,0.024675041,0.025613155,0.028145868,0.03026351,0.9506115,1361.2821,0.2590993,27.482431,0,439,0,439,0.04458146,-0.1550579,-0.46163464,0.18777612,-0.31907955,-0.0726791,,-0.30657673,0,0,0.013778188,28.12498,51,1.8870425,47.966713,-0.14183913,-0.08529794,,24736.324248021338,41.849827,591.0735,0,0,49,1.1539333,29569.358779276317,20.167128,1466.2157,442,0,9384.74388804591,14.117471,664.761,2,0,47,7.0347366,,0.14370964,,,,0.01957785,-0.089143395,-0.03537927,-0.21163702,
5911772863745103872,332.7952675963674,-16.46557957598711,0.33976047218464706,-1.7045773856265045,-5.622492837033536,19.819664,19.552423,20.15367,0.31507897,0.31197298,0.45783263,0.2970024,0.38207513,0.9313,389.42554,0.0,0.0,2,421,9,423,0.6229206,-0.26724052,-0.6012459,-0.17457886,-0.35918295,-0.45564935,-0.078676045,-0.33400536,0,0,0.06367534,7.4677014,51,,0.74210626,0.35490975,-0.08743708,-0.08715524,206.27536449681412,4.9484816,41.684578,0,0,48,1.2370744,222.37262892192734,0.8488308,261.97522,424,0,68.81610663805272,5.1650853,13.323324,0,0,50,5.875203,-0.14811297,0.2769267,-0.05691455,1.8684243,0.0798634,0.39611635,-0.3760081,-0.5977888,-0.18410823,0.13763437
4036440466993936640,351.5661692457842,-6.586767946588591,-0.1451392296870909,-2.919744664838021,-8.236486167945277,17.952578,17.991205,17.771078,0.12168562,0.102358855,0.13761662,0.14716749,0.09755126,1.0409226,350.30182,0.0813835,0.07545882,4,314,0,318,0.22038071,0.038627625,0.2201271,-0.23089257,-0.7492915,-0.2879783,,0.18149948,0,0,0.05054521,32.748344,37,1.7241708,-1.0546635,0.3308185,-0.17099848,,868.8303109806875,7.8469386,110.7222,22,0,33,1.1973945,1241.4106973829707,2.0916212,593.51605,308,0,617.628088028828,8.549153,72.244354,22,0,32,8.738685,,0.2702398,,,,0.3021376,0.04270739,-0.27644268,-0.31748664,
4551747280210370176,44.23423093784785,21.358528646879368,0.5450676094165697,-1.4505253936050033,-6.751679737102095,14.956187,14.822433,15.193228,0.018795509,0.023849718,0.03265139,0.029019257,0.034984328,1.104119,1758.3322,0.27360335,25.544497,2,631,0,633,0.050571457,-0.13375378,-0.3707943,-0.1331128,-0.23294827,-0.18139721,,-0.23704052,0,0,0.06606148,43.169796,74,1.8614284,16.69355,0.15401268,-0.09716773,,16085.837481799763,25.801657,623.442,13,0,71,1.1586711,19609.740428028013,9.753651,2010.5027,623,0,6635.402108429422,9.159468,724.43097,71,0,71,6.905737,,0.19251242,,,,-0.1301131,0.06290622,-0.11676358,-0.029821072,
4043198031104721664,356.83673204184777,-3.60549148419416,0.038515726876365036,-5.207736254103043,-9.056892878314105,14.823987,15.162013,14.209963,0.032709282,0.026456276,0.031821486,0.037726406,0.024957674,0.86990714,207.61757,0.0,0.0,3,270,0,273,0.05912312,0.33802605,0.9520502,-0.16677518,-0.7563205,-0.39500237,,0.61402416,0,0,0.1414694,14.081887,34,1.5408427,1.2103686,0.18387309,-0.13507637,,11765.530434765507,160.254,73.418015,24,0,31,1.272207,22148.881019131153,109.9633,201.42065,289,0,16412.432136859257,271.6828,60.410275,17,0,32,10.447384,,0.4258784,,,,0.3803529,-0.18450905,-0.37865862,-0.31356484,
4043444738420202880,357.4824169608565,-3.2478198057515937,,,,18.644882,15.03521,14.011037,6.6419415,5.5832543,,,,,2322.5208,17.627665,322.25754,11,85,0,96,17.97041,-3.6096725,1.0241728,,,,,4.6338453,6,0,0.2955731,146.36276,13,,,,,,13223.089153153418,258.4782,51.157463,6,0,6,50.196396,656.1359893265213,16.091415,40.775528,95,0,19712.572370004706,217.45534,90.65113,6,0,6,,,,,,,0.80772716,,,,
1344977912211651456,67.10973951669786,28.011284000372275,0.47667111211589613,-0.9333776297800929,-1.43946509740766,16.323034,16.199602,16.572388,0.032736752,0.034878645,0.036577784,0.042059604,0.045357175,1.0642143,691.1676,0.25661695,5.0589566,3,452,0,455,0.06438064,-0.12343216,-0.37278557,-0.022207573,-0.17198926,-0.02145877,,-0.24935341,0,0,0.026755286,17.510458,55,1.8589844,13.031711,-0.003790513,-0.11017557,,4524.553028043186,18.578213,243.54082,33,0,50,1.1470929,5568.434714679792,3.6777825,1514.074,467,0,1862.958839433085,8.832612,210.91823,27,0,43,1.7155913,,0.09409742,,,,0.055577256,-0.054792605,-0.021716436,-0.11292375,
